gene,SRR1039508,SRR1039516,SRR1039520,SRR1039509,SRR1039513,SRR1039517
ENSG00000163520.13,2742545,2281309,3594465,2038545,2846180,2451092
ENSG00000164111.14,2716678,4318450,3130743,2931917,3362879,5641769
ENSG00000164292.12,983758,1894597,1214369,1712792,3065964,4986549
ENSG00000164692.17,30438785,33749938,41039112,17591565,28843617,28814017
ENSG00000164733.20,2989498,5769490,3093629,3235822,4306020,6669483
ENSG00000165124.17,4957099,4805114,8549486,5461546,11662532,11583701
ENSG00000165507.8,1185480,1071923,1632147,2148643,5662036,3248917
ENSG00000166147.13,6908384,10600375,9687525,7631991,8760809,10896855
ENSG00000166482.11,4890162,5515470,5467994,2056712,2764513,2934074
ENSG00000166598.13,2548884,2708174,2341739,1814874,2212990,4214963
ENSG00000166710.17,3125391,4626120,4297136,2521639,4381503,4428239
ENSG00000166923.10,16396148,33566645,16820340,8418792,13605201,43716294
ENSG00000167460.14,4065160,5356923,5017682,6492662,7967375,11380017
ENSG00000167658.15,8633602,9260774,9027697,7941539,8150966,9027202
ENSG00000167995.15,7748839,11423349,7490451,7155544,10692295,10977859
ENSG00000167996.15,9792083,14019457,10149986,9164268,13022006,14176632
ENSG00000168542.13,13975895,14409216,17866219,7634811,9575548,8134175
ENSG00000168615.11,1876576,2572933,2501097,1857051,2971204,2813339
ENSG00000169504.14,1590203,1519068,2003481,1989587,3658242,3268705
ENSG00000174444.14,3192969,3297500,2951356,3063767,2985692,3363239
ENSG00000175899.14,2569521,319821,5413488,1987893,6193511,1278897
ENSG00000177469.12,1798575,1951309,2684979,2285480,3931768,4287874
ENSG00000178209.14,1819112,1380367,2514708,2612299,4118929,3380753
ENSG00000179218.13,3603525,3075915,2619315,2667293,2543656,4849657
ENSG00000182326.14,6361266,6949832,7213288,6088451,7499366,7595401
ENSG00000183087.14,865437,3261792,1380598,972279,2149766,5382852
ENSG00000184009.9,5867252,5839313,7700947,6648972,12029176,12711018
ENSG00000185624.14,2386703,2768109,2535742,2029008,2641620,3643555
ENSG00000196205.8,12971834,14478443,13861684,11093015,11092137,12393059
ENSG00000196616.12,3453526,4238045,4345137,8196878,10347406,6737108
ENSG00000196924.14,8085260,7670980,8199513,8473490,13239097,18578653
ENSG00000197102.10,2736739,2938279,2809911,2025582,2148020,2931209
ENSG00000197256.10,2096782,2198956,2579673,1835274,3030314,2773231
ENSG00000197746.13,6106613,5817165,6292822,5254826,6132153,6211179
ENSG00000197956.9,3438643,2955294,3725583,2744030,3382672,3142283
ENSG00000198431.15,1519202,1789417,1790149,3222915,6624483,4075473
ENSG00000198467.13,1327795,2358384,2109821,2149809,4136444,5352997
ENSG00000198695.2,2226071,4980900,3074662,2505634,5356175,5752900
ENSG00000198712.1,4183549,11189819,6109439,5518906,10335571,11954272
ENSG00000198727.2,5569378,10586199,6663967,6151818,12154531,12396555
ENSG00000198763.3,2872358,4671946,3348417,2937502,5318314,5033163
ENSG00000198786.2,5792074,12656620,7530628,5905853,11508583,15521258
ENSG00000198804.2,24344861,48238929,34464829,24817771,33072412,46382723
ENSG00000198886.2,8239350,13480385,10655426,8769808,16111776,13311500
ENSG00000198888.2,3087033,4954588,4413283,3666773,5854060,4919283
ENSG00000198899.2,5715188,7246564,6489064,5940969,9865251,7689343
ENSG00000198938.2,6908226,6749262,7120553,7574008,10378209,7293777
ENSG00000204262.11,1663449,2369449,2096090,2202132,2525780,3001803
ENSG00000204628.11,2833768,3114078,2696433,2714182,2710812,3077427
ENSG00000205542.10,2244916,2978538,3889403,1638433,3452997,3577370
ENSG00000210082.2,8142205,28424812,11926159,7789860,18294275,26373400
ENSG00000226608.3,2501859,3573794,2367394,1482398,1785510,2371384
ENSG00000229124.6,3860731,4678033,5775814,2592990,3461407,3686994
ENSG00000233476.3,7770843,8207545,8813937,6695959,7420167,7179380
ENSG00000234961.1,2718668,3488389,3759369,1703610,2859982,2322639
ENSG00000237973.1,3298804,6672464,5642322,3329243,6404148,6355653
ENSG00000245532.6,2712181,4205951,4535143,1688931,4192265,3535950
ENSG00000250722.5,1954793,1791637,2569972,2319853,3643947,2458738
ENSG00000273149.1,3115782,3073608,3330105,2928614,3369707,3673133
ENSG00000283041.1,2930973,3255416,2803198,2758964,2623949,3367717
